Date,BVN,ETH-USD,GLD,PEN,SCCO
2015-09-04,6.099999904632568,,107.48999786376953,,26.3700008392334
2015-09-08,6.320000171661377,,107.5199966430664,,27.739999771118164
2015-09-09,6.059999942779541,,106.12999725341797,,27.510000228881836
2015-09-10,6.130000114440918,,106.37999725341797,,28.139999389648438
2015-09-11,6.159999847412109,,106.16000366210938,,28.190000534057617
2015-09-14,6.199999809265137,,106.22000122070312,,27.709999084472656
2015-09-15,6.03000020980835,,105.9000015258789,,27.84000015258789
2015-09-16,6.480000019073486,,107.30999755859375,,28.270000457763672
2015-09-17,6.739999771118164,,108.41000366210938,,28.170000076293945
2015-09-18,6.909999847412109,,109.20999908447266,41.29999923706055,27.1299991607666
2015-09-21,6.519999980926514,,108.52999877929688,40.0,27.040000915527344
2015-09-22,6.050000190734863,,107.79000091552734,40.36000061035156,26.65999984741211
2015-09-23,5.920000076293945,,108.22000122070312,41.66999816894531,26.3700008392334
2015-09-24,6.21999979019165,,110.48999786376953,41.68000030517578,26.860000610351562
2015-09-25,6.039999961853027,,109.80999755859375,40.279998779296875,26.670000076293945
2015-09-28,5.829999923706055,,108.41999816894531,39.040000915527344,25.8799991607666
2015-09-29,5.889999866485596,,107.9800033569336,39.599998474121094,26.09000015258789
2015-09-30,5.960000038146973,,106.86000061035156,40.099998474121094,26.719999313354492
2015-10-01,6.090000152587891,,106.7300033569336,40.0099983215332,27.209999084472656
2015-10-02,6.349999904632568,,108.98999786376953,39.88999938964844,27.610000610351562
2015-10-05,7.260000228881836,,108.7699966430664,39.880001068115234,28.350000381469727
2015-10-06,7.480000019073486,,109.86000061035156,39.34000015258789,28.68000030517578
2015-10-07,7.369999885559082,,109.69999694824219,41.11000061035156,28.889999389648438
2015-10-08,7.179999828338623,,109.13999938964844,41.689998626708984,28.93000030517578
2015-10-09,7.929999828338623,,110.87000274658203,39.5,30.15999984741211
2015-10-12,7.550000190734863,,111.30999755859375,39.13999938964844,29.84000015258789
2015-10-13,7.480000019073486,,111.86000061035156,39.9900016784668,29.360000610351562
2015-10-14,8.220000267028809,,113.80999755859375,40.779998779296875,29.40999984741211
2015-10-15,8.180000305175781,,113.29000091552734,40.400001525878906,29.350000381469727
2015-10-16,7.820000171661377,,112.48999786376953,40.79999923706055,28.770000457763672
2015-10-19,7.510000228881836,,112.0199966430664,41.0,28.479999542236328
